Shop Country	Group	Usage Time Type	Uninstall Reason Categories	Latest Shopify Plan Known to Findter	Usage Time	Shop Domain	Shop Email	Shop Name	Latest Active Product Count Known to Findter	First Install Date	Uninstalled Date	Uninstall Reason	Note
US	Cũ	Under 3 Months	App Not Working / Compatibility Issue	Grow	72d 25m	6ttn0k-8i.myshopify.com	info@doodlebugschild.com	Doodlebugs Children's Finery & Gifts	9152	04-06-26 2:51	2026-08-15 3:17	Not working properly with store	
MX	Mới	Under 1 Day	App Not Working / Compatibility Issue	Basic	12h 25m	1zhi0p-x3.myshopify.com	vettagroupmx@gmail.com	Vetta Caffe Group México	0	14-08-26 0:10	2026-08-14 12:36	No funciona correctamente con la tienda	
AR	Mới	Under 1 Day	App Not Working / Compatibility Issue	Basic	6h 19m	q2ueft-eq.myshopify.com	lskinlab.contacto@gmail.com	LS SkinLab	19	13-08-26 20:34	2026-08-14 2:54	No me satisfacen las funciones de la app, No funciona correctamente con la tienda, Ya no uso la app	Ko thấy khách emebed đc app - Có thể tương thích theme
PH	Mới	Under 1 hour	App Not Working / Compatibility Issue	Basic	11m	vibramphshop.myshopify.com	vibramph@gmail.com	Tara Barefoot Shop	0	13-08-26 18:26	2026-08-13 18:38	Not working properly with store	Set up khá lâu, khả năng chưa tương thích
NL	Cũ	Under 3 Months	App Not Working / Compatibility Issue	Basic	41d 23h 16m	u4xjjh-zj.myshopify.com	admin@blackbeetle.nl	Black Beetle	48	01-07-26 21:01	2026-08-12 20:18	Not working properly with store	
US	Cũ	Under 3 Months	App Not Working / Compatibility Issue	Basic	37d 12m	purplecultures.myshopify.com	purplecultures2021@gmail.com	Purple Cultures		06-07-26 7:37	2026-08-12 7:50	Not working properly with store	
AU	Cũ	Under 3 Months	App Not Working / Compatibility Issue	Basic	70d 1h 17m	hi-torqueperformance.myshopify.com	marketing@hi-torqueperformance.com.au	Hi-Torque Performance Pty Ltd		02-06-26 4:29	2026-08-11 5:47	Not working properly with store	
ES	Mới	Under 1 hour	App Not Working / Compatibility Issue		6m	c7abaa.myshopify.com	chaxijs@gmail.com	Beatfit		09-08-26 21:10	2026-08-09 21:17	No funciona correctamente con la tienda	
US	Mới	Under 1 Day	App Not Working / Compatibility Issue	Basic	2h 1m	c96377-2.myshopify.com	bluebonnetcustomgifts@gmail.com	Bluebonnet Gift Shop		08-08-26 5:15	2026-08-08 7:17	Not working properly with store	
CO	Mới	Under 1 hour	App Not Working / Compatibility Issue		15m	mkr1vq-af.myshopify.com	alexandragrisales579@gmail.com	Gato Gamer Store		08-08-26 3:51	2026-08-08 4:07	No funciona correctamente con la tienda	
US	Mới	Under 1 hour	App Not Working / Compatibility Issue		6m	sprout-kids-llc.myshopify.com	shopsproutkids@mail.com	Sprout Kids		07-08-26 23:56	2026-08-08 0:03	Not working properly with store	"1. Uninstall app ngay sau khi embed app (thấy banner thông báo store vượt limit)
						2,  Đã vào pricing để nhấn mua, nhưng cancel ngay sau đó (Gói 9$)"							
GB	Mới	Under 1 hour	App Not Working / Compatibility Issue		6m	t1iw1n-k9.myshopify.com	rexiedex@gmail.com	Rexiedex		07-08-26 4:30	2026-08-07 4:37	Not working properly with store	
US	Mới	Under 1 hour	App Not Working / Compatibility Issue		2m	fae726-3.myshopify.com	Underez@cardsquare.net	CardSquare L.L.C.		06-08-26 7:01	2026-08-06 7:04	Not working properly with store	
PL	Mới	Under 1 hour	App Not Working / Compatibility Issue		8m	didaqm-ta.myshopify.com	vdomehoz@gmail.com	My Store		06-08-26 5:38	2026-08-06 5:47	Некорректно работает с магазином	Theme khách là theme đã tương thích vs app từ trc, nhưng vẫn uninstall ngay sau onboarding
NL	Mới	Under 1 hour	App Not Working / Compatibility Issue		1m	0zqcwt-q2.myshopify.com	info@cesmade.com	cesmade		05-08-26 19:14	2026-08-05 19:16	Werkt niet goed met de winkel	
BE	Mới	Under 1 hour	App Not Working / Compatibility Issue		17m	ijwnvh-w2.myshopify.com	info@held-antwerp.be	held Antwerp		05-08-26 2:42	2026-08-05 3:00	Werkt niet goed met de winkel, Niet tevreden over app-functies	Khách có chủ động nhấn xem user guide trên box ở homepage. Sau khi enable search feature (ko bật app embeded core)
NO	Cũ	Under 1 Year	App Not Working / Compatibility Issue	Basic	265d 23h 5m	b59e3j-ve.myshopify.com	stian@printcraft.no	PrintCraft Creations		08-11-25 5:16	2026-08-01 4:22	Not working properly with store	
IT	Mới	Under 1 hour	App Not Working / Compatibility Issue	Basic	12m	ff3n5q-kx.myshopify.com	annuck.co@gmail.com	annuck		31-07-26 2:22	2026-07-31 2:35	Non funziona correttamente con il negozio	
ES	Mới	Under 1 hour	App Not Working / Compatibility Issue		7m	treemers-2.myshopify.com	gestion@treemers.com	Treemers		28-07-26 18:05	2026-07-28 18:13	No funciona correctamente con la tienda	
PL	Cũ	Under 6 Months	App Not Working / Compatibility Issue	Paused	91d 18h 12m	miuus-studio.myshopify.com	hello@themiuusstudio.com	THE MIUUS STUDIO		27-04-26 19:21	2026-07-28 13:34	Not working properly with store	
GB	Cũ	Under 1 Month	App Not Working / Compatibility Issue	Basic	15d 13h	bsrbcv-1b.myshopify.com	botanicultuk@gmail.com	BOTANICULT		12-07-26 18:41	2026-07-28 7:42	Not working properly with store	
NL	Mới	Under 1 hour	App Not Working / Compatibility Issue		17m	dehuidshop-syk.myshopify.com	info@skintrends.nl	SkinTrends		28-07-26 4:42	2026-07-28 5:00	Werkt niet goed met de winkel, Niet tevreden over app-functies	
US	Mới	Under 1 hour	App Not Working / Compatibility Issue	Basic	35m	d87b2c-cc.myshopify.com	support@12twelve.com	12TWELVE		27-07-26 22:05	2026-07-27 22:41	Other (please specify); doesnt work with template	
AU	Cũ	Under 3 Months	App Not Working / Compatibility Issue		31d 22h 20m	uwjz7g-hr.myshopify.com	support@acrylix.com.au	Acrylix		24-06-26 20:37	2026-07-26 18:58	Not working properly with store	
FR	Cũ	Under 1 Month	App Not Working / Compatibility Issue		8d 14h 57m	ru9ygp-ju.myshopify.com	maabec1@gmail.com	CardsProxy		17-07-26 2:45	2026-07-25 17:43	Ne fonctionne pas correctement avec la boutique	
IN	Mới	Under 1 hour	App Not Working / Compatibility Issue		21m	sophistisuit-creation.myshopify.com	ommdigitalseo@gmail.com	Sophistisuit Creation		25-07-26 16:51	2026-07-25 17:13	Not working properly with store	
GB	Cũ	Under 6 Months	App Not Working / Compatibility Issue	Grow	142d 7h 41m	dwrhuk-0j.myshopify.com	info@southernofficefurniture.co.uk	Southern Office Furniture		02-03-26 12:44	2026-07-22 20:26	Not working properly with store	
AU	Mới	Under 1 hour	App Not Working / Compatibility Issue		10m	rtk0fk-s0.myshopify.com	sales@avconcept.com.au	AV Concept		22-07-26 12:40	2026-07-22 12:51	Other (please specify); I didn't want to change my Product Grid	
KW	Mới	Under 1 Day	App Not Working / Compatibility Issue	Basic	1h 38m	9yw6iv-vn.myshopify.com	info@gemtopya.co	GEMTOPYA		22-07-26 5:44	2026-07-22 7:23	Not working properly with store	
SE	Cũ	Under 3 Months	App Not Working / Compatibility Issue	Basic	37d 10h 11m	5kz3kc-sd.myshopify.com	sweden@peckhamsoul.com	Peckham Soul		14-06-26 14:35	2026-07-22 0:46	Other (please specify); does not work with my shop and actively screws up the search function on my website website	
FR	Mới	Under 1 hour	App Not Working / Compatibility Issue		7m	1s6x53-3t.myshopify.com	novasphere83@gmail.com	Chic Bottle		21-07-26 18:51	2026-07-21 18:59	Ne fonctionne pas correctement avec la boutique	
IN	Cũ	Under 1 Week	App Not Working / Compatibility Issue	Basic	3d 23m	indclues.myshopify.com	indclues@gmail.com	Indclues		18-07-26 14:57	2026-07-21 15:21	Not working properly with store	
ES	Cũ	Under 3 Months	Missing / Unsatisfactory Features	Basic	49d 3h 51m	d3b8f0-00.myshopify.com	info@puraindia.com	Pura India	1364	27-06-26 18:17	2026-08-15 22:09	No me satisfacen las funciones de la app	
